Class,AreaABD,AspectRatio,AverageBlue,AverageGreen,AverageRed,BiovolumeCylinder,BiovolumeP.Spheroid,BiovolumeSphere,Circularity,CircularityHu,Compactness,ConvexPerimeter,Convexity,DiameterABD,DiameterESD,GeodesicAspectRatio,GeodesicLength,GeodesicThickness,Length,OriginalReferenceID,RatioBlue/Green,RatioRed/Blue,RatioRed/Green,SigmaIntensity,Symmetry,Timestamp,VolumeABD,Width
Tetrahymena,353.4489,0.3149,109.361,111.1805,112.7902,8444.431,1623.0374,4998.6611,0.6187,0.5696,1.6163,104.0925,1,21.2138,29.4234,0.3692,42.8857,15.8338,44.59,D7163166-0FEF-40E5-A643-C1E4BDB78753,0.9836,1.0314,1.0145,16.8739,0.7532,2019-11-11T09:34:59.579,5.00E+03,8.19
Tetrahymena,668.4189,0.4066,118.8097,123.1057,123.0634,19764.6735,7031.1738,12999.8074,0.6686,0.688,1.4957,126.4491,1,29.1729,36.3494,0.4433,50.4015,22.3449,50.05,7256E216-C284-4DC7-A9E2-778CDC12AF92,0.9651,1.0358,0.9997,15.7556,0.8247,2019-11-11T09:34:59.579,1.30E+04,17.29
Tetrahymena,632.3203,0.4099,90.0126,95.7697,99.1325,16851.7994,6052.5456,11961.0556,0.6343,0.6997,1.5765,121.8248,1,28.3742,34.8834,0.3902,52.0368,20.3059,50.05,8062F76D-429B-42A5-B50F-B0ABDCB07626,0.9399,1.1013,1.0351,24.8635,0.89,2019-11-11T09:34:59.579,1.20E+04,17.29
Tetrahymena,822.7674,0.4042,93.8051,97.9513,101.0615,25643.9741,9223.4869,17753.3118,0.6955,0.687,1.4377,137.0995,1,32.3663,39.7872,0.4945,51.1116,25.2748,55.51,7D293854-38BE-437E-8B89-C142780720AC,0.9577,1.0774,1.0318,24.3872,0.7352,2019-11-11T09:34:59.579,1.78E+04,19.11
Tetrahymena,438.363,0.3584,88.7042,92.375,94.7042,11973.9849,2796.686,6904.2203,0.6794,0.6331,1.4719,108.676,1,23.625,30.3838,0.4626,41.4533,19.1776,44.59,E3CB3D51-6E71-4F67-A523-8DC922DFED65,0.9603,1.0676,1.0252,19.1017,0.8492,2019-11-11T09:34:59.579,6.90E+03,11.83
Tetrahymena,530.5024,0.6025,111.7401,119.87,120.6823,18384.6991,6354.0765,9191.6794,0.8806,0.8813,1.1355,102.0458,1,25.9895,28.7156,1,28.6059,28.6059,35.49,4A611C3F-DC28-4E56-9229-94F805112550,0.9322,1.08,1.0068,12.6333,0.9405,2019-11-11T09:34:59.579,9.19E+03,19.11
Tetrahymena,421.1893,0.4328,101.515,101.8197,103.9485,13205.9711,3242.159,6502.4904,0.7408,0.7242,1.35,100.8182,1,23.1576,28.1594,0.615,35.4256,21.7862,40.95,34CA0F9A-1BF6-495F-9F75-D100E4BED51D,0.997,1.024,1.0209,21.9737,0.7742,2019-11-11T09:34:59.579,6.50E+03,13.65
Tetrahymena,313.162,0.5091,107.7926,104.4681,106.0266,10573.9674,2328.8476,4168.861,0.8642,0.8072,1.1571,84.535,1,19.9682,23.2556,1,23.7894,23.7894,31.85,7E9AD471-DFAE-4142-944B-716CD6961745,1.0318,0.9836,1.0149,29.2371,0.8926,2019-11-11T09:34:59.579,4.17E+03,13.65
Tetrahymena,253.0205,0.4149,105.1543,105.4198,106.5247,7283.314,1293.0822,3027.593,0.7217,0.7026,1.3857,83.344,1,17.9487,22.8512,0.5566,31.0511,17.2815,33.67,DEA490C7-360F-40F2-BB8D-C2AD28BD98A1,0.9975,1.013,1.0105,20.4539,0.8491,2019-11-11T09:34:59.690,3.03E+03,10.01
Tetrahymena,660.6649,0.3999,120.378,123.9177,123.4756,21360.8551,6661.621,12774.2584,0.7215,0.676,1.386,125.3607,1,29.0032,36.1472,0.5562,44.4665,24.7314,50.05,DD2B4260-B989-4B09-9FC5-2BCA0A681602,0.9714,1.0257,0.9964,14.2079,0.7541,2019-11-11T09:34:59.690,1.28E+04,15.47
Tetrahymena,611.7946,0.3996,87.2362,92.2362,96.9417,18048.0945,5519.1605,11383.4067,0.6946,0.687,1.4397,120.1191,1,27.9099,34.2766,0.4925,45.5891,22.4512,48.23,CBD9871F-6CC5-459B-9A5C-21FBC7F6ECB3,0.9458,1.1113,1.051,25.0802,0.9091,2019-11-11T09:34:59.690,1.14E+04,15.47
Tetrahymena,426.0869,0.6951,82.834,84.0596,87.4681,13191.2478,5065.4244,6616.2379,0.9322,0.9358,1.0727,90.5153,1,23.2919,24.8228,1,25.6094,25.6094,31.85,47416C7B-EA82-4B8E-9D85-6A8CD3A61EDC,0.9854,1.0559,1.0405,30.7013,0.8892,2019-11-11T09:34:59.690,6.62E+03,19.11
Tetrahymena,440.8236,0.384,89.3693,94.3817,96.9917,12445.2818,3070.4608,6962.4333,0.6922,0.6681,1.4448,106.1158,1,23.6912,29.8278,0.4875,40.551,19.7677,44.59,FC682CE6-359C-4B35-BD46-684567BE74B6,0.9469,1.0853,1.0277,20.2586,0.7814,2019-11-11T09:34:59.690,6.96E+03,11.83
Tetrahymena,396.8143,0.7474,106.3139,114.9552,116.4619,11834.4151,4806.3393,5946.2711,0.951,0.9581,1.0516,86.9621,1,22.4775,23.8622,1,24.6994,24.6994,28.21,E4B4789C-69ED-43AC-A2BF-64CD69897042,0.9248,1.0955,1.0131,15.0651,0.8747,2019-11-11T09:34:59.690,5.95E+03,19.11
Tetrahymena,406.5412,0.4305,98.4053,100.4273,102.7445,12710.9853,3014.6922,6166.2427,0.7411,0.724,1.3494,99.1707,1,22.7514,27.6538,0.6161,34.934,21.5239,40.95,EE1A5985-16D6-4CFC-ABC3-AD4ACB231218,0.9799,1.0441,1.0231,23.1784,0.8225,2019-11-11T09:34:59.690,6.17E+03,13.65
Tetrahymena,480.4259,0.393,110.4903,106.5992,108.1323,14466.4206,3640.3617,7921.4281,0.7192,0.6772,1.3905,108.7417,1,24.7325,30.7378,0.5499,39.3442,21.6369,44.59,8BD3498B-3B38-4012-B16D-9DDE3AE636CA,1.0365,0.9787,1.0144,21.3845,0.8761,2019-11-11T09:34:59.690,7.92E+03,11.83
