"","tre","rep","day","Date","nut","temp","Class","density","nut_num","temp_num","log_density","treatNum","width","area","circ","bioVsphe","length","symm","sigmaInt","num_ind","all_rep"
"403","Half25C","1",4,"2019/11/15","Half","25C","Euplotes",22,0.5,25,3.13549421592915,4,85.54,7687.13269285714,0.407014285714286,513060.819557143,143.78,0.633885714285714,32.0467214285714,14,19
"404","Half25C","2",4,"2019/11/15","Half","25C","Euplotes",14,0.5,25,2.70805020110221,4,95.55,10289.4229666667,0.598288888888889,794862.368466667,162.687777777778,0.729988888888889,33.2431333333333,9,20
"405","Half25C","3",4,"2019/11/15","Half","25C","Euplotes",34,0.5,25,3.55534806148941,4,89.5936363636364,9147.23914545454,0.435918181818182,667789.607968182,156.437272727273,0.640486363636364,33.2343136363636,22,21
"406","Half25C","4",4,"2019/11/15","Half","25C","Euplotes",28,0.5,25,3.36729582998647,4,92.1122222222222,9093.28296666667,0.395077777777778,664561.175483333,154.7,0.607133333333333,34.3794944444444,18,22
"407","Half25C","5",4,"2019/11/15","Half","25C","Euplotes",34,0.5,25,3.55534806148941,4,88.4433333333333,8785.79318571428,0.427557142857143,628150.710985714,158.036666666667,0.634252380952381,33.269619047619,21,23
"408","Half25C","6",4,"2019/11/15","Half","25C","Euplotes",31,0.5,25,3.46573590279973,4,96.369,9612.89777,0.327455,724931.981745,159.887,0.570225,33.15042,20,24
"409","Full22C","1",7,"2019/11/18","Full","22C","Euplotes",31,1,22,3.46573590279973,1,94.185,9702.623805,0.455725,727810.513365,160.16,0.67618,31.144965,20,1
"410","Full22C","2",7,"2019/11/18","Full","22C","Euplotes",23,1,22,3.17805383034795,1,91.91,9245.38389333333,0.523053333333333,690951.03354,148.815333333333,0.660626666666667,32.57498,15,2
"411","Full22C","3",7,"2019/11/18","Full","22C","Euplotes",36,1,22,3.61091791264422,1,81.7813043478261,8660.97803913043,0.460591304347826,634845.616265217,156.955217391304,0.638665217391304,32.4360782608696,23,3
"412","Full22C","4",7,"2019/11/18","Full","22C","Euplotes",30,1,22,3.43398720448515,1,90.4111764705882,9233.53977647059,0.444847058823529,688800.254282353,153.254705882353,0.634670588235294,32.7406117647059,17,4
"413","Full22C","5",7,"2019/11/18","Full","22C","Euplotes",47,1,22,3.87120101090789,1,92.274,10044.8420666667,0.445526666666667,771367.233836667,165.134666666667,0.661693333333333,33.2878433333333,30,5
"414","Full22C","6",7,"2019/11/18","Full","22C","Euplotes",30,1,22,3.43398720448515,1,88.3711111111111,9434.80218333333,0.516877777777778,709820.173805556,157.126666666667,0.707094444444444,31.45415,18,6
"415","Full25C","1",7,"2019/11/18","Full","25C","Euplotes",186,1,25,5.23110861685459,2,88.5371559633028,9187.45815779816,0.496833027522936,678523.415561468,154.073853211009,0.674396330275229,32.9840633027523,109,7
"416","Full25C","2",7,"2019/11/18","Full","25C","Euplotes",166,1,25,5.11799381241676,2,89.5903921568627,9333.08894117647,0.477039215686274,695307.414510784,155.270980392157,0.665805882352941,33.0190901960784,102,8
"417","Full25C","3",7,"2019/11/18","Full","25C","Euplotes",200,1,25,5.30330490805908,2,82.8255555555556,8192.88513333333,0.469011965811966,569954.202949573,150.321111111111,0.67495811965812,29.0299179487179,117,9
"418","Full25C","4",7,"2019/11/18","Full","25C","Euplotes",255,1,25,5.54517744447956,2,80.229746835443,7775.94362974684,0.432341772151899,526672.572487975,148.710126582278,0.627991139240506,28.2014392405063,158,10
"419","Full25C","5",7,"2019/11/18","Full","25C","Euplotes",238,1,25,5.47646355193151,2,82.6624324324324,7898.38224662162,0.422444594594595,537044.238430405,149.658108108108,0.639102702702703,27.1531060810811,148,11
"420","Full25C","6",7,"2019/11/18","Full","25C","Euplotes",283,1,25,5.64897423816121,2,84.4783333333333,8137.41250714286,0.400418452380952,561301.639122024,154.299166666667,0.612854761904762,26.8833648809524,168,12
"421","Half22C","1",7,"2019/11/18","Half","22C","Euplotes",94,0.5,22,4.55387689160054,3,90.3410344827586,9248.00392586207,0.432656896551724,685242.613587931,157.994827586207,0.637448275862069,31.8078120689655,58,13
"422","Half22C","2",7,"2019/11/18","Half","22C","Euplotes",39,0.5,22,3.68887945411394,3,83.8854545454546,8681.81572272727,0.4944,625346.113318182,149.24,0.698713636363636,29.9283090909091,22,14
"423","Half22C","3",7,"2019/11/18","Half","22C","Euplotes",99,0.5,22,4.60517018598809,3,90.2416666666667,9429.45606333333,0.454528333333333,701541.257353333,157.976,0.66705,32.1619016666667,60,15
"424","Half22C","4",7,"2019/11/18","Half","22C","Euplotes",102,0.5,22,4.63472898822964,3,95.55,9780.82903387097,0.38795,739623.709725806,160.570967741935,0.625109677419355,31.0020612903226,62,16
"425","Half22C","5",7,"2019/11/18","Half","22C","Euplotes",84,0.5,22,4.44265125649032,3,85.6074074074074,8701.96429814815,0.441403703703704,630126.209248148,153.52037037037,0.632775925925926,31.2223777777778,54,17
"426","Half22C","6",7,"2019/11/18","Half","22C","Euplotes",80,0.5,22,4.39444915467244,3,91.91,9906.56358571429,0.465179591836735,761642.74317551,161.775714285714,0.686089795918367,32.6883244897959,49,18
"427","Half25C","1",7,"2019/11/18","Half","25C","Euplotes",227,0.5,25,5.42934562895444,4,79.9376190476191,7455.16511904762,0.380843537414966,494628.43587483,152.316666666667,0.607221768707483,26.9530482993197,147,19
"428","Half25C","2",7,"2019/11/18","Half","25C","Euplotes",228,0.5,25,5.43372200355424,4,83.2681818181818,7726.28972867133,0.398991608391608,521068.619887413,149.59,0.620970629370629,27.5117622377622,143,20
"429","Half25C","3",7,"2019/11/18","Half","25C","Euplotes",208,0.5,25,5.34233425196481,4,80.318,7196.93220076923,0.348354615384615,468445.379722308,146.272,0.610974615384615,26.5615730769231,130,21
"430","Half25C","4",7,"2019/11/18","Half","25C","Euplotes",219,0.5,25,5.39362754635236,4,78.8804545454545,7095.62366893939,0.368342424242424,457994.121521212,146.110151515152,0.612600757575758,27.5387143939394,132,22
"431","Half25C","5",7,"2019/11/18","Half","25C","Euplotes",183,0.5,25,5.21493575760899,4,79.8724561403509,7219.36813596491,0.349904385964912,474187.178858772,148.952631578947,0.585769298245614,29.0194210526316,114,23
"432","Half25C","6",7,"2019/11/18","Half","25C","Euplotes",80,0.5,25,4.39444915467244,4,74.49,6425.09192857143,0.433602040816327,394632.30104898,137.112857142857,0.630657142857143,28.5378285714286,49,24
"433","Full22C","1",8,"2019/11/19","Full","22C","Euplotes",125,1,22,4.83628190695148,1,88.5003797468354,9099.51352658228,0.411425316455696,663958.710535443,158.397594936709,0.631153164556962,33.5491063291139,79,1
"434","Full22C","2",8,"2019/11/19","Full","22C","Euplotes",53,1,22,3.98898404656427,1,91.966875,9846.267459375,0.456221875,753674.74905625,157.031875,0.6584375,33.5200875,32,2
"435","Full22C","3",8,"2019/11/19","Full","22C","Euplotes",80,1,22,4.39444915467244,1,89.3842857142857,9369.24498979592,0.456042857142857,697791.334965306,156.278571428571,0.654710204081633,31.9976816326531,49,3
"436","Full22C","4",8,"2019/11/19","Full","22C","Euplotes",88,1,22,4.48863636973214,1,91.4271428571429,9856.61087755102,0.463408163265306,757782.056632653,161.181428571429,0.663873469387755,33.2981,49,4
"437","Full22C","5",8,"2019/11/19","Full","22C","Euplotes",163,1,22,5.0998664278242,1,90.7413684210526,9505.40953473684,0.406383157894737,711025.142634737,159.077578947368,0.637,33.4343126315789,95,5
"438","Full22C","6",8,"2019/11/19","Full","22C","Euplotes",53,1,22,3.98898404656427,1,88.0023529411765,9392.76162941177,0.451261764705882,701780.471223529,157.644117647059,0.670358823529412,33.8765352941176,34,6
"439","Full25C","1",8,"2019/11/19","Full","25C","Euplotes",358,1,25,5.88332238848828,2,81.9285650224215,7872.20124843049,0.398074887892377,536518.347424664,149.317533632287,0.613177578475336,29.7493726457399,223,7
"440","Full25C","2",8,"2019/11/19","Full","25C","Euplotes",307,1,25,5.73009978297357,2,85.03,8503.75560824176,0.413802197802198,602963.683633516,151.42,0.628858791208791,29.7534692307692,182,8
"441","Full25C","3",8,"2019/11/19","Full","25C","Euplotes",294,1,25,5.68697535633982,2,84.2325287356322,8056.97500287356,0.381610344827586,555181.421945977,154.260689655172,0.59911091954023,27.9987229885057,174,9
"442","Full25C","4",8,"2019/11/19","Full","25C","Euplotes",333,1,25,5.8111409929767,2,81.1773529411765,7482.77264019608,0.388326960784314,497050.7963,149.27568627451,0.612731862745098,27.5854754901961,204,10
"443","Full25C","5",8,"2019/11/19","Full","25C","Euplotes",258,1,25,5.55682806169954,2,80.0569620253165,7456.47778987342,0.376564556962025,494034.478170886,150.66835443038,0.614191772151899,27.7338069620253,158,11
"444","Full25C","6",8,"2019/11/19","Full","25C","Euplotes",242,1,25,5.49306144334055,2,81.7869934640523,7490.45721111111,0.358540522875817,497351.40329085,149.852614379085,0.61162614379085,27.9100006535948,153,12
"445","Half22C","1",8,"2019/11/19","Half","22C","Euplotes",169,0.5,22,5.13579843705026,3,83.3577669902913,8077.05826407767,0.4216,555034.310267961,152.570776699029,0.64836213592233,28.398432038835,103,13
"446","Half22C","2",8,"2019/11/19","Half","22C","Euplotes",119,0.5,22,4.78749174278205,3,81.6382191780822,7783.50976027397,0.471330136986301,529109.68980274,143.642876712329,0.663438356164384,30.4125191780822,73,14
"447","Half22C","3",8,"2019/11/19","Half","22C","Euplotes",213,0.5,22,5.36597601502185,3,86.0121052631579,8286.20502180451,0.448809022556391,578313.887654887,150.888947368421,0.659994736842105,28.3300195488722,133,15
"448","Half22C","4",8,"2019/11/19","Half","22C","Euplotes",178,0.5,22,5.18738580584075,3,85.8668932038835,7987.31315048544,0.353912621359223,550397.313026214,152.888834951456,0.598666990291262,27.5876223300971,103,16
"449","Half22C","5",8,"2019/11/19","Half","22C","Euplotes",167,0.5,22,5.12396397940326,3,85.1742990654206,8318.83600934579,0.404403738317757,582880.31917757,152.888504672897,0.632514953271028,30.0136831775701,107,17
"450","Half22C","6",8,"2019/11/19","Half","22C","Euplotes",206,0.5,22,5.33271879326537,3,86.560303030303,8517.97586590909,0.41865303030303,604830.884645455,152.356060606061,0.653111363636364,29.8472333333333,132,18
"451","Half25C","1",8,"2019/11/19","Half","25C","Euplotes",264,0.5,25,5.57972982598622,4,79.204125,7119.05139625,0.36828375,459324.938815625,147.26075,0.6103775,27.32367125,160,19
"452","Half25C","2",8,"2019/11/19","Half","25C","Euplotes",263,0.5,25,5.57594910314632,4,81.7414838709677,6662.70495548387,0.287834193548387,418337.375402581,146.345612903226,0.558928387096774,26.9839541935484,155,20
"453","Half25C","3",8,"2019/11/19","Half","25C","Euplotes",201,0.5,25,5.30826769740121,4,80.1317886178862,7472.24439349593,0.383964227642276,495589.813193496,147.97487804878,0.61729674796748,27.9755276422764,123,21
"454","Half25C","4",8,"2019/11/19","Half","25C","Euplotes",208,0.5,25,5.34233425196481,4,78.806,7289.18245615385,0.392816923076923,477773.998866923,146.608,0.631225384615385,29.8848592307692,130,22
"455","Half25C","5",8,"2019/11/19","Half","25C","Euplotes",261,0.5,25,5.5683445037611,4,79.4059259259259,7187.69232098765,0.376658641975309,467666.720042593,145.588765432099,0.62517962962963,29.1934679012346,162,23
"456","Half25C","6",8,"2019/11/19","Half","25C","Euplotes",135,0.5,25,4.91265488573605,4,78.2945569620253,6737.40915063291,0.347216455696203,424987.369896203,144.044936708861,0.617635443037975,27.9336493670886,79,24
"457","Full22C","1",9,"2019/11/20","Full","22C","Euplotes",136,1,22,4.91998092582813,1,84.5871764705882,8525.75842588235,0.45384,607123.085698824,152.184117647059,0.65186,29.9163411764706,85,1
"458","Full22C","2",9,"2019/11/20","Full","22C","Euplotes",113,1,22,4.7361984483945,1,88.8239130434783,9726.48192898551,0.482594202898551,738856.260634783,160.990869565217,0.682072463768116,34.7291144927536,69,2
"459","Full22C","3",9,"2019/11/20","Full","22C","Euplotes",94,1,22,4.55387689160054,1,92.885,9470.1033625,0.483944642857143,706746.198341071,154.2125,0.674869642857143,33.4281196428571,56,3
"460","Full22C","4",9,"2019/11/20","Full","22C","Euplotes",160,1,22,5.08140436498446,1,85.5878947368421,8567.66912736842,0.435058947368421,609116.414581053,153.100315789474,0.653121052631579,29.1912284210526,95,4
"461","Full22C","5",9,"2019/11/20","Full","22C","Euplotes",122,1,22,4.81218435537242,1,86.1345333333333,8672.30960933333,0.438256,618307.096685333,155.61,0.667462666666667,27.8378426666667,75,5
"462","Full22C","6",9,"2019/11/20","Full","22C","Euplotes",145,1,22,4.98360662170834,1,96.5466666666667,10203.2126690476,0.413441666666667,789247.377370238,160.376666666667,0.633995238095238,33.91785,84,6
"463","Full25C","1",9,"2019/11/20","Full","25C","Euplotes",333,1,25,5.8111409929767,2,79.7825853658537,7355.51802487805,0.410741951219512,485601.717217073,146.50112195122,0.625233658536585,28.6151951219512,205,7
"464","Full25C","2",9,"2019/11/20","Full","25C","Euplotes",313,1,25,5.74939298590825,2,80.7919689119171,7743.78432590674,0.41190414507772,522116.49765285,149.999119170984,0.629470466321243,28.4414642487047,193,8
"465","Full25C","3",9,"2019/11/20","Full","25C","Euplotes",229,1,25,5.4380793089232,2,81.809,7408.549905,0.358020714285714,489268.053451429,148.057,0.596895,28.6513171428571,140,9
"466","Full25C","4",9,"2019/11/20","Full","25C","Euplotes",315,1,25,5.75574221358691,2,83.3531413612565,7426.29777696335,0.355498429319372,490733.897062827,148.787382198953,0.590592670157068,28.1101691099476,191,10
"467","Full25C","5",9,"2019/11/20","Full","25C","Euplotes",249,1,25,5.52146091786225,2,78.8129113924051,7042.02282848101,0.340657594936709,456033.904110759,147.569746835443,0.581279113924051,29.0638607594937,158,11
"468","Full25C","6",9,"2019/11/20","Full","25C","Euplotes",271,1,25,5.605802066296,2,82.7647826086957,7458.77404347826,0.35375652173913,495797.365265217,148.092608695652,0.595398757763975,28.0819322981366,161,12
"469","Half22C","1",9,"2019/11/20","Half","22C","Euplotes",145,0.5,22,4.98360662170834,3,83.7002173913043,7722.60218478261,0.398451086956522,516799.740031522,148.112391304348,0.632471739130435,27.322525,92,13
"470","Half22C","2",9,"2019/11/20","Half","22C","Euplotes",130,0.5,22,4.87519732320115,3,84.6991139240506,7930.9854835443,0.415350632911392,545660.347163291,147.731012658228,0.638727848101266,29.0086367088608,79,14
"471","Half22C","3",9,"2019/11/20","Half","22C","Euplotes",194,0.5,22,5.27299955856375,3,84.0901694915254,7819.07591440678,0.3799,528567.365965254,151.414745762712,0.616331355932203,27.7803220338983,118,15
"472","Half22C","4",9,"2019/11/20","Half","22C","Euplotes",114,0.5,22,4.74493212836325,3,87.6965753424657,7976.70262054795,0.356458904109589,543589.071163014,152.219315068493,0.623471232876712,26.6450109589041,73,16
"473","Half22C","5",9,"2019/11/20","Half","22C","Euplotes",231,0.5,22,5.44673737166631,3,84.4919310344828,7952.4117937931,0.401006206896552,543909.120918621,150.57675862069,0.619529655172414,27.3977972413793,145,17
"474","Half22C","6",9,"2019/11/20","Half","22C","Euplotes",177,0.5,22,5.18178355029209,3,84.9743243243243,8118.66283513514,0.41588018018018,560769.662094595,152.609459459459,0.638881081081081,28.354427027027,111,18
"475","Half25C","1",9,"2019/11/20","Half","25C","Euplotes",220,0.5,25,5.39816270151775,4,77.5359854014599,6685.88690218978,0.350374452554745,418709.244168613,143.467810218978,0.623832116788321,26.2680372262774,137,19
"476","Half25C","2",9,"2019/11/20","Half","25C","Euplotes",260,0.5,25,5.56452040732269,4,77.9759872611465,6868.39972993631,0.359146496815287,435633.450317197,144.121974522293,0.641315286624204,27.2504681528662,157,20
