Class,AreaABD,AspectRatio,AverageBlue,AverageGreen,AverageRed,BiovolumeCylinder,BiovolumeP.Spheroid,BiovolumeSphere,Circularity,CircularityHu,Compactness,ConvexPerimeter,Convexity,DiameterABD,DiameterESD,GeodesicAspectRatio,GeodesicLength,GeodesicThickness,Length,OriginalReferenceID,RatioBlue/Green,RatioRed/Blue,RatioRed/Green,SigmaIntensity,Symmetry,Timestamp,VolumeABD,Width
4XEuplotes,4852.0964,0.5238,89.5845,94.2884,97.6859,110034.3459,234149.5974,254248.2269,0.1837,0.7766,5.444,354.1241,0.8209,78.5995,108.8966,0.0665,316.402,21.0426,141.05,1AF86CE6-8918-4D3F-B107-3606E7559670,0.9501,1.0904,1.036,34.2856,0.3922,2019-11-11T09:11:54.476,2.54E+05,62.79
4XEuplotes,4873.0973,0.627,97.9911,103.5666,106.483,162507.0416,242390.0497,255900.671,0.3746,0.8585,2.6699,319.1163,0.9039,78.7694,97.6734,0.1606,200.193,32.1489,117.39,2E0DA73F-3840-44E2-9155-AB165348FA59,0.9462,1.0867,1.0282,26.8533,0.7019,2019-11-11T09:11:51.089,2.56E+05,68.25
4XEuplotes,4879.0983,0.7928,106.1827,111.7086,113.3772,206174.3776,258862.3689,256373.5147,0.5254,0.9551,1.9032,293.6821,0.9459,78.8179,89.8878,0.2696,153.4376,41.3625,106.47,33AC4F8F-8BF3-4D0F-995D-04CC3DB843DD,0.9505,1.0678,1.0149,26.4866,0.8429,2019-11-11T09:11:53.851,2.56E+05,71.89
4XEuplotes,4933.1232,0.4927,94.219,100.5179,103.3072,111740.4775,208651.8847,260643.4097,0.2173,0.743,4.6011,339.0187,0.8445,79.2531,104.1444,0.0808,279.2817,22.5704,133.77,F0090C01-67D3-4CE7-A19D-C6E6B065F103,0.9373,1.0965,1.0277,31.1724,0.5026,2019-11-11T09:11:57.866,2.61E+05,62.79
4XEuplotes,5086.343,0.5765,85.4415,92.537,97.5424,99640.8452,259564.6337,272880.352,0.1518,0.7996,6.5868,352.366,0.7904,80.4744,108.3406,0.0536,353.2406,18.9513,137.41,9A06F7E2-1665-4C56-A7A2-25D5EDE6919E,0.9233,1.1416,1.0541,28.4452,0.3225,2019-11-11T09:12:04.264,2.73E+05,70.07
4XEuplotes,5086.343,0.6318,94.6019,99.8053,103.8535,165914.973,262765.6771,272880.352,0.3396,0.8718,2.9442,331.7127,0.8809,80.4744,101.8188,0.1407,220.1925,30.9739,126.49,5B8B629E-0DD3-46BF-8472-30D352BF6BF5,0.9479,1.0978,1.0406,31.0492,0.5492,2019-11-11T09:12:12.168,2.73E+05,68.25
4XEuplotes,5098.3694,0.6396,86.6879,93.2864,96.9459,137006.145,269631.0344,273848.7399,0.2506,0.867,3.9905,329.2216,0.8557,80.5695,101.0606,0.0958,266.9131,25.5647,117.39,4EAF3EB3-27C4-4452-86DB-2D8135C9679E,0.9293,1.1183,1.0392,29.7913,0.5546,2019-11-11T09:12:19.696,2.74E+05,79.17
4XEuplotes,5128.4411,0.6548,90.3514,97.8786,101.9137,129624.5958,291829.2522,276275.1686,0.2325,0.8357,4.302,345.782,0.8108,80.8068,106.2172,0.0875,278.2911,24.3528,130.13,7ABA358E-3AC2-4AFB-824C-380288B150BB,0.9231,1.128,1.0412,31.0024,0.5235,2019-11-11T09:11:46.699,2.76E+05,77.35
4XEuplotes,5402.4584,0.6745,81.1422,87.55,91.8487,197624.663,317545.8721,298710.8146,0.3586,0.8956,2.7883,346.8836,0.8946,82.9375,106.6216,0.1513,222.3219,33.6422,133.77,58B49227-0282-4585-A75D-272E95F4A86B,0.9268,1.1319,1.0491,30.4596,0.5549,2019-11-11T09:11:55.355,2.99E+05,70.07
4XEuplotes,5489.9163,0.5235,83.2763,90.493,94.1512,153891.4523,244020.5103,305993.6275,0.2842,0.7964,3.5189,343.191,0.9165,83.6061,105.4588,0.1118,250.2482,27.9819,141.05,231C0F28-8C41-41F4-8DBE-C47607A7A267,0.9203,1.1306,1.0404,32.7072,0.7791,2019-11-11T09:12:09.658,3.06E+05,60.97
